VARIABLE,DESCRIPTION,IMPORTANCE,NON_BANKRUPT_MEDIAN,NON_BANKRUPT_MISSING_RATIO,BANKRUPT_MEDIAN,BANKRUPT_MISSING_RATIO,MEDIAN_DIFFERENCE
Attr49,Kaynakta EBITDA olarak adlandırılan tutar / satışlar (tanım notu),0.009845821700399755,0.015255,0.0,-0.055435,0.0,-0.07069
Attr4,Dönen varlıklar / kısa vadeli yükümlülükler,0.00983646842729508,1.7137,0.002756086357372531,0.96584,0.009202453987730062,-0.74786
Attr44,Alacakların satışlara göre devir süresi,0.009646798055824536,59.335,0.0,48.692,0.0,-10.643
Attr60,Satışlar / stoklar,0.009494508180480877,9.0463,0.04294901240238861,8.0306,0.08588957055214724,-1.0157000000000007
Attr40,(Dönen varlıklar - stoklar - alacaklar) / kısa vadeli yükümlülükler,0.00930052205997448,0.192185,0.002756086357372531,0.048877,0.009202453987730062,-0.143308
Attr53,Özkaynaklar / duran varlıklar,0.009254926366988455,1.3188,0.01814423518603583,0.58747,0.03987730061349693,-0.7313299999999999
Attr45,Net kâr / stoklar,0.009059635463486971,0.28733,0.04294901240238861,-0.34718499999999997,0.08588957055214724,-0.6345149999999999
Attr50,Dönen varlıklar / toplam yükümlülükler,0.009011520542805223,1.3243,0.0022967386311437757,0.80128,0.009202453987730062,-0.52302
Attr33,Faaliyet giderleri / kısa vadeli yükümlülükler,0.008937134873568595,4.600899999999999,0.002756086357372531,2.9547,0.009202453987730062,-1.6461999999999994
Attr10,Özkaynaklar / toplam varlıklar,0.008886201770629081,0.53821,0.00022967386311437759,0.2528,0.0,-0.28540999999999994
Attr15,Yükümlülüklerin kârla geri ödeme süresi,0.008722118556907996,916.105,0.00045934772622875517,-700.7,0.0,-1616.805
Attr28,Çalışma sermayesi / duran varlıklar,0.008532174376586233,0.56384,0.01814423518603583,-0.072227,0.03987730061349693,-0.636067
Attr57,(Dönen varlıklar - stoklar - kısa vadeli yükümlülükler) / (satışlar - brüt kâr - amortisman),0.00814644010383696,0.11569499999999999,0.00045934772622875517,0.0135265,0.0,-0.1021685
Attr59,Uzun vadeli yükümlülükler / özkaynaklar,0.007853892110118603,0.007688,0.00045934772622875517,0.0,0.0,-0.007688
Attr31,Brüt kâr ve faiz / satışlar,0.0076423561461008566,0.047925999999999996,0.0,-0.041704000000000005,0.0,-0.08963
Attr32,Kısa vadeli yükümlülüklerin devir süresi,0.0066874640756267945,78.625,0.008268259072117593,130.06,0.003067484662576687,51.435
Attr18,Brüt kâr / toplam varlıklar,0.005509292528517899,0.063209,0.00022967386311437759,-0.07333200000000001,0.0,-0.13654100000000002
Attr2,Toplam yükümlülükler / toplam varlıklar,0.004787521686499207,0.4381,0.00022967386311437759,0.7275,0.0,0.28940000000000005
