MODEL,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
XGBoost,0.7729640955940651,0.5384615384615384,7.729640955940649,0.7245690338995266,0.9348844718458541,0.009690782707392914,14.254416899988428
LightGBM,0.7912560878921736,0.5512820512820512,7.9125608789217345,0.746705304456956,0.9439073285427902,0.03649674161436869,26.170875499839894
