MODEL,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
XGBoost,0.7729640955940651,0.5384615384615384,7.729640955940649,0.7245690338995266,0.9348844718458541,0.009690782707392914,14.254416899988428
LightGBM,0.7422697927285083,0.517094017094017,7.422697927285083,0.7208168728203798,0.9347127552474274,0.01603323239878223,10.420802100095898
