CAPACITY,REVIEWED_COMPANIES,CAPTURED_BANKRUPT,TOTAL_BANKRUPT,RECALL_AT_CAPACITY,PRECISION_AT_CAPACITY,LIFT_AT_CAPACITY
0.05,59,47,82,0.573170731707317,0.7966101694915254,11.366267052501033
0.1,117,67,82,0.8170731707317073,0.5726495726495726,8.170731707317072
0.2,234,75,82,0.9146341463414634,0.32051282051282054,4.573170731707317
