trial,state,value,n_estimators,learning_rate,subsample,colsample_bytree,reg_alpha,weight_multiplier,max_depth,min_child_weight,reg_lambda,gamma,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
0,COMPLETE,0.7509578544061303,400,0.05,0.8,0.8,0.0,1.0,5,5.0,1.0,0.0,0.7509578544061303,0.5226666666666667,7.4975632183908045,0.7114936215252156,0.9388557228706921,0.059602870444843116,14.40743880008813
1,COMPLETE,0.7432950191570881,600,0.05,0.8,0.8,0.0,1.0,5,5.0,1.0,0.0,0.7432950191570881,0.5173333333333333,7.421057471264368,0.7122045342733386,0.9385851145630171,0.046295195301128654,14.422216999926604
2,COMPLETE,0.6934865900383143,500,0.0490127741307512,0.676608314778998,0.6271601432765165,0.0,1.8549320946511587,2,13.30897760361294,10.439310510355197,0.01,0.6934865900383143,0.48266666666666663,6.923770114942529,0.6288123369537301,0.9206523640275757,0.02867170411321029,5.504850500030443
3,COMPLETE,0.7164750957854406,500,0.05376998665141696,0.7584189744188106,0.9154802838715599,5.0,0.6586334752818933,7,5.482434907438265,0.15469142237323336,5.0,0.7164750957854406,0.49866666666666665,7.153287356321839,0.6637159558025912,0.9317341042370001,0.05336547232637592,7.542981100035831
4,COMPLETE,0.7049808429118775,1300,0.012258642067626193,0.9843151025867113,0.8636821569504087,0.1,1.5785604707786511,2,3.220245060125556,1.0142148138063183,0.5,0.7049808429118775,0.49066666666666664,7.038528735632184,0.6306512076075373,0.9157451133749807,0.037929099373991054,15.495804599951953
5,COMPLETE,0.7164750957854406,1000,0.17443040497242246,0.6789775110054701,0.633330160252162,10.0,0.7308394344914898,3,2.535103126263332,4.433192654492382,0.1,0.7164750957854406,0.49866666666666665,7.1532873563218375,0.6766275403402201,0.930955280327106,0.027092213838565058,9.818901500082575
6,COMPLETE,0.7126436781609194,400,0.020856279587028088,0.8909650062296923,0.6256511091608835,10.0,1.0219758893885929,5,19.29417896825986,8.250134030827008,0.1,0.7126436781609194,0.496,7.11503448275862,0.6650666243749354,0.9323743238917435,0.040908345793223416,10.18813220015727
7,COMPLETE,0.6973180076628352,1200,0.03446726865202767,0.8058821335502464,0.9386165980468201,10.0,0.9904833832351526,5,2.985635733802635,6.334620055380802,5.0,0.6973180076628352,0.48533333333333334,6.962022988505747,0.6476397509988824,0.9282656977569211,0.05499118810117747,13.781817400013097
8,COMPLETE,0.7509578544061303,800,0.05052759720912564,0.8844692540275275,0.8749726976265195,0.01,1.812636813227546,3,11.46228711069637,3.9747760027321024,0.01,0.7509578544061303,0.5226666666666667,7.4975632183908045,0.7220248327544598,0.9354368179103099,0.05168864966755576,13.486468199989758
9,COMPLETE,0.7164750957854406,400,0.06043354139125818,0.7442433690016815,0.6675493793411774,0.1,0.5402852635638903,3,7.0112419995446675,4.494649629599575,5.0,0.7164750957854406,0.49866666666666665,7.1532873563218375,0.6902288015706387,0.9317143036291213,0.027092213838565058,5.008768599946052
10,COMPLETE,0.7203065134099617,100,0.10195154513585371,0.7607530149898893,0.9829262252773874,0.0,1.2386743189481868,6,16.27691178483017,5.356982313137423,0.0,0.7203065134099617,0.5013333333333333,7.1915402298850575,0.6846939851229285,0.9344665881242555,0.04629519530112862,3.987483900040388
11,COMPLETE,0.7126436781609194,600,0.03734882475367047,0.903339825942243,0.9125138924940333,0.01,1.5542081574731226,3,12.11919701630316,15.745008469032543,5.0,0.7126436781609194,0.496,7.11503448275862,0.6877714501688237,0.9310278825559944,0.040908345793223416,8.985130700049922
12,COMPLETE,0.7394636015325671,1400,0.07691931646006273,0.9269236008299586,0.8360730575318276,0.01,1.9110967818355415,3,13.67447654372826,3.8490694954744096,0.01,0.7394636015325671,0.5146666666666667,7.38280459770115,0.7264802044551967,0.9404265710957326,0.060337225088213126,20.004939100006595
13,COMPLETE,0.7241379310344828,200,0.08552946345402887,0.7927817404575456,0.7898940210632053,0.0,1.284397596253332,5,7.713673327628351,1.8527209775532392,5.0,0.7241379310344828,0.504,7.2297931034482765,0.6816074722624599,0.9325426290587121,0.04876598490941706,5.018269800231792
14,COMPLETE,0.7279693486590038,700,0.028755501808851117,0.8506691321117198,0.8082419614316122,0.0,1.5834022696365133,3,7.353176014707152,1.3399947707462045,0.01,0.7279693486590038,0.5066666666666667,7.268045977011496,0.6957888362999712,0.9305295672577149,0.0516886496675557,20.03595790010877
15,COMPLETE,0.7547892720306514,800,0.06153559437551366,0.7768611775905376,0.9093385244665002,0.01,1.649964277394075,4,9.517195205864986,1.1553923435649818,1.0,0.7547892720306514,0.5253333333333333,7.535816091954023,0.717391409706576,0.937443279508681,0.04629519530112862,16.410849599982612
16,COMPLETE,0.7126436781609194,400,0.027080230607077305,0.817930594822087,0.6462024354243191,0.0,0.9049932792689175,3,6.216277464052418,0.43608886853846385,0.0,0.7126436781609194,0.496,7.11503448275862,0.6628047099678778,0.9269951587513736,0.040908345793223416,9.411402500001714
17,COMPLETE,0.735632183908046,500,0.05547422337423684,0.8589658527580448,0.9048011953765511,0.01,0.7458732944932337,4,13.178911823992943,0.6191577252678487,1.0,0.735632183908046,0.512,7.344551724137932,0.7145626568996192,0.9394233402965471,0.05708683688027335,12.2666995000327
18,COMPLETE,0.7164750957854406,1000,0.06046027821873695,0.7872546916167404,0.9097852576517362,0.01,1.0490447665116114,2,18.629622580549036,0.1336747420371508,1.0,0.7164750957854406,0.49866666666666665,7.153287356321839,0.6943613139492067,0.9289818197418661,0.023618444455819804,13.135552900028415
19,COMPLETE,0.7241379310344828,700,0.09186854370002868,0.7622955501920243,0.9285822231008027,0.01,1.306547237462856,3,3.177352959413567,2.9548325554709662,1.0,0.7241379310344828,0.504,7.229793103448276,0.7072923829464739,0.9353873163906132,0.018770036343166093,12.94620800006669
20,COMPLETE,0.7471264367816092,300,0.04689073257270161,0.8528862045194803,0.8269706063391553,0.0,0.6282030756522023,6,3.3196714388851962,1.3559578563978885,0.0,0.7471264367816092,0.52,7.459310344827586,0.7046511369290059,0.9385422132459467,0.05708683688027336,12.094770900090225
21,COMPLETE,0.7318007662835249,1100,0.02894536326472167,0.8397700634821856,0.7571063414370186,0.01,1.677735452085662,5,8.339641264537361,6.685045047924535,0.01,0.7318007662835249,0.5093333333333333,7.306298850574713,0.7107438759946624,0.9397566505291713,0.05418442767713007,25.731226899893954
22,COMPLETE,0.735632183908046,800,0.02914275412975644,0.8334389979158864,0.8983990250288623,0.01,1.4169485174954235,3,11.158892187849856,1.7257933869031399,1.0,0.735632183908046,0.512,7.344551724137932,0.7071915998344936,0.9343015830585998,0.04966084826366179,13.115266499924473
23,COMPLETE,0.7394636015325671,800,0.053644725420955566,0.8752677000692164,0.9152284418796885,0.01,1.9554436967224125,4,4.200653779957064,1.7355844214693976,1.0,0.7394636015325671,0.5146666666666667,7.38280459770115,0.7173668846620872,0.9404628722101768,0.04435186552793193,13.177621499984525
