trial,state,fold,recall_at_10,precision_at_10,lift_at_10,captured,reviewed,positives,average_precision,roc_auc,pr_auc_trapezoid,accuracy,precision,recall,f1,confusion_matrix,seconds,train_rows,valid_rows,train_positive,weight_ratio
0,COMPLETE,0,0.6666666666666666,0.464,6.656,58,125,87,0.6673695227971325,0.9197184353559654,0.666067476159615,0.9551282051282052,0.7246376811594203,0.5747126436781609,0.6410256410256411,"[[1142, 19], [37, 50]]",5.890580300008878,2496,1248,174,13.344827586206897
0,COMPLETE,1,0.7931034482758621,0.552,7.918344827586207,69,125,87,0.741790128302231,0.9422614274258219,0.740632843268173,0.9591346153846154,0.7432432432432432,0.632183908045977,0.6832298136645962,"[[1142, 19], [32, 55]]",4.441101400065236,2496,1248,174,13.344827586206897
0,COMPLETE,2,0.7931034482758621,0.552,7.918344827586207,69,125,87,0.7253212134762831,0.954587305830289,0.7238857721276658,0.9567307692307693,0.7323943661971831,0.5977011494252874,0.6582278481012658,"[[1142, 19], [35, 52]]",4.075757100014016,2496,1248,174,13.344827586206897
1,COMPLETE,0,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.6681953168793501,0.9206292633183839,0.6668789832676405,0.9551282051282052,0.7183098591549296,0.5862068965517241,0.6455696202531646,"[[1141, 20], [36, 51]]",4.8371729999780655,2496,1248,174,13.344827586206897
1,COMPLETE,1,0.7816091954022989,0.544,7.8035862068965525,68,125,87,0.74062321432389,0.9412317958161316,0.7394652110034756,0.9575320512820513,0.7297297297297297,0.6206896551724138,0.6708074534161491,"[[1141, 20], [33, 54]]",4.828053299919702,2496,1248,174,13.344827586206897
1,COMPLETE,2,0.7701149425287356,0.536,7.688827586206897,67,125,87,0.7277950716167754,0.9538942845545358,0.7263666407846731,0.9551282051282052,0.7183098591549296,0.5862068965517241,0.6455696202531646,"[[1141, 20], [36, 51]]",4.756990700028837,2496,1248,174,13.344827586206897
2,COMPLETE,0,0.6551724137931034,0.456,6.541241379310345,57,125,87,0.6066892135749383,0.9061649192630213,0.6049623298646616,0.8886217948717948,0.35555555555555557,0.735632183908046,0.4794007490636704,"[[1045, 116], [23, 64]]",1.718288299976848,2496,1248,174,13.344827586206897
2,COMPLETE,1,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.6246038385164953,0.9138475551199421,0.6225465817363349,0.9022435897435898,0.3939393939393939,0.7471264367816092,0.5158730158730159,"[[1061, 100], [22, 65]]",1.881106400047429,2496,1248,174,13.344827586206897
2,COMPLETE,2,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6551439587697565,0.9419446176997635,0.6534276935587137,0.905448717948718,0.40718562874251496,0.7816091954022989,0.5354330708661418,"[[1062, 99], [19, 68]]",1.905455800006166,2496,1248,174,13.344827586206897
3,COMPLETE,0,0.6436781609195402,0.448,6.42648275862069,56,125,87,0.6280606396854714,0.9125308146960113,0.6265672499269729,0.9254807692307693,0.47413793103448276,0.632183908045977,0.541871921182266,"[[1100, 61], [32, 55]]",2.4663688000291586,2496,1248,174,13.344827586206897
