fold,component,explained_variance_ratio
1,36,0.00023974582273468708
1,37,0.0001876739670388247
1,38,0.00014665891961995474
1,39,0.0001273859647662051
1,40,0.0001140345647428377
1,41,7.619051161013846e-05
1,42,5.082239799398177e-05
1,43,4.359645849708538e-05
1,44,2.5591061925111356e-05
1,45,1.4698857373479039e-05
1,46,1.3761475016634697e-05
1,47,1.0317829214872442e-05
1,48,8.406801428189088e-06
1,49,8.065015746286351e-06
1,50,7.866376271872628e-06
1,51,5.773792662048914e-06
1,52,5.516036993612521e-06
1,53,2.970071066695369e-06
1,54,1.8359892185095083e-06
1,55,1.3413333932325748e-06
1,56,1.3088264396167013e-06
1,57,1.0445107036447571e-06
1,58,8.456256353196135e-07
1,59,4.518068353379342e-07
1,60,3.1784494288920426e-07
1,61,2.4336177449147293e-07
1,62,9.416667847179938e-13
1,63,3.4494132382687856e-13
1,64,1.5453980191676552e-17
2,1,0.18295992189014396
2,2,0.17703389763384736
2,3,0.11605748407021445
2,4,0.07311672140223396
2,5,0.05481158157134657
2,6,0.040160419372372275
2,7,0.032766549801324873
2,8,0.03125233086732715
2,9,0.029679626291320982
2,10,0.028487321740689076
2,11,0.021168727988248863
2,12,0.019138478725138956
2,13,0.017456680755460578
2,14,0.01685546705880114
2,15,0.016343252506782674
2,16,0.016037760454082037
2,17,0.015627234520856608
2,18,0.015527370168590912
2,19,0.015042584114438439
2,20,0.014554872246373045
2,21,0.013905627478161039
2,22,0.012732962491360597
2,23,0.009496667407505833
2,24,0.006969236392043302
2,25,0.005467056967204638
2,26,0.005019899230637679
2,27,0.0023436419348300233
2,28,0.001803720560544674
2,29,0.0016670955018315613
2,30,0.0013236510151654786
2,31,0.0012982443871537332
2,32,0.0008847039774907004
2,33,0.0007633952527399379
2,34,0.0006956218371068314
2,35,0.0003634611146655204
2,36,0.0002983444826020432
2,37,0.00023371687840859748
2,38,0.0001426704346709924
2,39,0.00010451534974575644
2,40,8.608903654071523e-05
2,41,7.304559384001815e-05
2,42,5.33167983485149e-05
2,43,4.8577229388336314e-05
2,44,3.876278789314058e-05
2,45,2.4961766061106708e-05
2,46,1.7324621382298062e-05
2,47,1.5265179776598902e-05
2,48,1.2844235718354172e-05
2,49,8.56746004719094e-06
2,50,7.495863917396417e-06
2,51,6.955633112735656e-06
2,52,5.150032582098554e-06
2,53,2.491211724009125e-06
2,54,2.1550761481739427e-06
2,55,1.2731058370575115e-06
2,56,1.0296689895698197e-06
2,57,7.118765226483972e-07
2,58,5.940696175150162e-07
2,59,3.3995726718155587e-07
2,60,3.2335707344058517e-07
2,61,2.0956285211487397e-07
2,62,1.4034559241866965e-12
2,63,4.933477330902271e-13
2,64,3.868923158789802e-17
3,1,0.19614058923560607
3,2,0.1842731005114533
3,3,0.13433217621302657
3,4,0.07200628025893445
3,5,0.03533784538828773
3,6,0.03367714308820597
3,7,0.031259882870328035
3,8,0.028933098845573362
3,9,0.02817392751247824
3,10,0.022861344173157303
3,11,0.020781451470105353
3,12,0.017849385231134184
3,13,0.016795174042373115
3,14,0.016673013827762068
3,15,0.016042160736473635
3,16,0.01570360155344772
3,17,0.015658674243506667
3,18,0.015609934166949868
3,19,0.014951266721676064
3,20,0.01454442155095735
3,21,0.01425141551273253
3,22,0.01314700975749646
3,23,0.011164768339236674
3,24,0.007187777365872137
3,25,0.005468148593494578
3,26,0.004212973739015649
3,27,0.002960077368032631
3,28,0.002297635345015209
3,29,0.002127818334683918
3,30,0.0016961036715215428
3,31,0.0007733303972393959
3,32,0.0006683384640823811
3,33,0.0005848842550883135
3,34,0.000433131294475173
3,35,0.00040490892852110825
3,36,0.0002640288526005301
3,37,0.00018219017540492793
3,38,0.00011555733188635503
3,39,9.272762832104184e-05
3,40,8.325546094580659e-05
3,41,5.820994063542966e-05
3,42,4.5183007133710354e-05
3,43,4.022277476091417e-05
3,44,3.428227375986332e-05
3,45,2.9985590004152192e-05
3,46,1.8211040226013207e-05
3,47,1.3578667796819766e-05
3,48,9.873971603922717e-06
3,49,8.019101749847206e-06
3,50,4.633983018081536e-06
3,51,4.344515663704955e-06
3,52,3.126726612837071e-06
3,53,2.3045821012486085e-06
3,54,2.1666843747074663e-06
3,55,1.7570278037073937e-06
3,56,1.473732973030482e-06
3,57,8.509962147911159e-07
3,58,5.723094064521061e-07
3,59,2.9789007022156695e-07
3,60,1.8267869086512372e-07
3,61,1.700470767774516e-07
3,62,1.0367111961023314e-12
3,63,1.8255345015734919e-13
3,64,1.0546544327860305e-16
4,1,0.177278921563608
4,2,0.13125301745617554
4,3,0.09545614876757119
4,4,0.0612447481267991
4,5,0.0552437672235281
4,6,0.04603208793698495
4,7,0.0342696549627527
4,8,0.03204144623710663
4,9,0.028669576710841745
4,10,0.027147967634276637
4,11,0.022513461333262708
4,12,0.019075104152519694
4,13,0.017695783021291094
4,14,0.017001341606100402
4,15,0.016963444073697515
4,16,0.016801211852435088
4,17,0.016324564883907617
4,18,0.015559029551611661
4,19,0.015284328854828208
4,20,0.014836602758683683
4,21,0.0145827208158413
4,22,0.014485340781587915
4,23,0.014299742432793026
4,24,0.013837869111582921
4,25,0.01373902724554993
4,26,0.010884488666438525
4,27,0.010013524896669587
4,28,0.00853282732846871
4,29,0.00790602252118094
4,30,0.005804578200551175
4,31,0.005101892019623078
