fold,arm,input_dimensions,retained_training_variance,seconds,training_rows,preprocessing_fit_on_training_only,recall_at_10,precision_at_10,lift_at_10,captured,reviewed,positives,average_precision,roc_auc,pr_auc_trapezoid,accuracy,precision,recall,f1,confusion_matrix
0,raw_64,64,1.0,6.475743199989665,3744,True,0.7846153846153846,0.5425531914893617,7.812765957446808,51,94,65,0.7337192911449492,0.91387441490771,0.7326129633609528,0.9497863247863247,0.6451612903225806,0.6153846153846154,0.6299212598425197,"[[849, 22], [25, 40]]"
0,scaled_64,64,1.0,11.668757500010543,3744,True,0.7692307692307693,0.5319148936170213,7.659574468085106,50,94,65,0.7374596450719227,0.914457299302305,0.7363651552062612,0.9551282051282052,0.6949152542372882,0.6307692307692307,0.6612903225806451,"[[853, 18], [24, 41]]"
0,pca_90,16,0.907817351090269,3.964778599998681,3744,True,0.3384615384615385,0.23404255319148937,3.370212765957447,22,94,65,0.2071823409684194,0.7839971738938444,0.1973772942501198,0.9006410256410257,0.25,0.2153846153846154,0.23140495867768596,"[[829, 42], [51, 14]]"
0,pca_95,19,0.9516868137555803,3.312456400002702,3744,True,0.2923076923076923,0.20212765957446807,2.91063829787234,19,94,65,0.19628210761828313,0.7797403514969531,0.18901367036143574,0.8985042735042735,0.23214285714285715,0.2,0.21487603305785125,"[[828, 43], [52, 13]]"
0,pca_99,25,0.991719617439488,5.006321499997284,3744,True,0.2923076923076923,0.20212765957446807,2.91063829787234,19,94,65,0.2455891275169195,0.7692307692307692,0.24081724692063242,0.9017094017094017,0.24528301886792453,0.2,0.22033898305084745,"[[831, 40], [52, 13]]"
0,pca_full_64,64,0.9999999999999999,15.446001300006174,3744,True,0.49230769230769234,0.3404255319148936,4.902127659574468,32,94,65,0.360554766685891,0.8576702287379669,0.3543744959363347,0.9252136752136753,0.4444444444444444,0.3076923076923077,0.36363636363636365,"[[846, 25], [45, 20]]"
1,raw_64,64,1.0,18.985199899994768,3744,True,0.8153846153846154,0.5638297872340425,8.119148936170212,53,94,65,0.7153316341202705,0.9305837675527686,0.7135904366396282,0.9540598290598291,0.7037037037037037,0.5846153846153846,0.6386554621848739,"[[855, 16], [27, 38]]"
1,scaled_64,64,1.0,16.519830800010823,3744,True,0.8153846153846154,0.5638297872340425,8.119148936170212,53,94,65,0.7153316341202705,0.9305837675527686,0.7135904366396282,0.9540598290598291,0.7037037037037037,0.5846153846153846,0.6386554621848739,"[[855, 16], [27, 38]]"
1,pca_90,17,0.9102722822924083,7.031463399995118,3744,True,0.4307692307692308,0.2978723404255319,4.2893617021276595,28,94,65,0.22141530576011414,0.7684800847831846,0.21140806054016875,0.9091880341880342,0.2727272727272727,0.18461538461538463,0.22018348623853212,"[[839, 32], [53, 12]]"
1,pca_95,20,0.9514287239876906,7.590523399994709,3744,True,0.4153846153846154,0.2872340425531915,4.136170212765958,27,94,65,0.2336238460100491,0.7696988430627927,0.22756839146092706,0.9134615384615384,0.32608695652173914,0.23076923076923078,0.2702702702702703,"[[840, 31], [50, 15]]"
1,pca_99,26,0.9916214674505713,7.530429300008109,3744,True,0.4307692307692308,0.2978723404255319,4.2893617021276595,28,94,65,0.250677044919004,0.7833877947540405,0.24156796542563672,0.9198717948717948,0.375,0.23076923076923078,0.2857142857142857,"[[846, 25], [50, 15]]"
