trial,state,value,n_estimators,learning_rate,subsample,colsample_bytree,reg_alpha,weight_multiplier,max_depth,min_child_weight,reg_lambda,gamma,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
0,COMPLETE,0.7729640955940651,400,0.05,0.8,0.8,0.0,1.0,5,5.0,1.0,0.0,0.7729640955940651,0.5384615384615384,7.729640955940649,0.7245690338995266,0.9348844718458541,0.009690782707392914,14.254416899988428
1,COMPLETE,0.7698493600634273,600,0.05,0.8,0.8,0.0,1.0,5,5.0,1.0,0.0,0.7698493600634273,0.5363247863247863,7.698493600634273,0.7272383613211647,0.935981805207932,0.023450114251886416,16.531761499936692
2,COMPLETE,0.7330954808019028,100,0.06022882810820968,0.8646502481849432,0.9393311866218863,0.0,0.5070528428924606,5,4.699271101719155,2.0331096525101193,0.01,0.7330954808019028,0.5106837606837606,7.330954808019027,0.6961372048033434,0.9290321896194288,0.008552302377610071,4.603012099978514
3,COMPLETE,0.7422981085060596,800,0.024142607548846465,0.8441020681376888,0.7768559881908592,10.0,1.2173534767608807,4,6.058678866040736,0.6861778824359109,0.1,0.7422981085060596,0.517094017094017,7.422981085060595,0.7115604618482827,0.9345531426597032,0.008516320213695153,19.70488219987601
4,COMPLETE,0.7330671650243515,900,0.10611584875142131,0.7077740392330814,0.7760058294080171,10.0,0.689490455356802,8,1.3231857651733494,3.658667865725904,1.0,0.7330671650243515,0.5106837606837606,7.330671650243516,0.681856528232049,0.9289524339131671,0.016068648661716273,14.279294700128958
5,COMPLETE,0.6901404462566543,600,0.018763345687653345,0.6825882501842974,0.9192535246556378,10.0,0.5144656665197752,3,1.7859414273641094,0.453618802409285,0.01,0.6901404462566543,0.4807692307692308,6.901404462566542,0.6756371147245454,0.9285012378518053,0.012535481389537764,11.097808299935423
6,COMPLETE,0.7208347491222109,1100,0.1549446526375007,0.9720312116725783,0.9968205229221484,1.0,1.171517846861067,8,10.967750560330146,0.2643404338698695,5.0,0.7208347491222109,0.5021367521367521,7.208347491222109,0.6906805210694854,0.924909677431082,0.009332443850330318,10.499197800061665
7,COMPLETE,0.7240061162079511,1000,0.11677976664802904,0.8762516347298716,0.8015971707973322,0.1,1.3470765575307089,2,6.790900680789427,0.18313080943512597,0.01,0.7240061162079511,0.5042735042735043,7.240061162079511,0.6850237025795964,0.9212612579320139,0.018758171477653362,11.341220499831252
8,COMPLETE,0.714661909616038,1100,0.011250765202481335,0.7984910752176537,0.7502311167567914,0.1,0.7120150767394509,3,1.0502364856411768,0.6573189188160486,0.0,0.714661909616038,0.49786324786324787,7.146619096160381,0.6804228320100694,0.9243016963519876,0.01613954610679635,237.01706139999442
9,COMPLETE,0.7453845282591459,1600,0.010974340704307185,0.9989411197180667,0.6861450621675381,0.01,1.5246287682390351,5,1.2105428109241276,11.678484604916454,0.0,0.7453845282591459,0.5192307692307692,7.45384528259146,0.7171053439531975,0.9358892466724601,0.004981002022266661,59.86306089989375
10,COMPLETE,0.650271831464492,700,0.017088614444037146,0.8234041485722512,0.9565933206390338,0.0,1.479699177738123,2,14.06758976563033,0.24289825157129477,0.0,0.650271831464492,0.452991452991453,6.50271831464492,0.6166515468811165,0.9124515198867296,0.00887770751531699,8.560114599880762
11,COMPLETE,0.757645259938838,500,0.07593808516062155,0.9544307440819572,0.7166673746254648,0.0,0.8655578865579341,4,8.590405846163684,5.200545229336326,0.0,0.757645259938838,0.5277777777777778,7.576452599388379,0.7266389659522584,0.9366423898649404,0.015927115180427873,9.781980099971406
12,COMPLETE,0.7269509570732812,200,0.03320371549128683,0.7385941039205897,0.6892811819811029,0.0,1.2071777606035936,6,4.760539312194978,1.8636427337695949,0.0,0.7269509570732812,0.5064102564102564,7.2695095707328115,0.680089397180296,0.9274095063675797,0.00989100549060358,8.799634999944828
13,COMPLETE,0.7545871559633027,600,0.069731875126856,0.7954751758253265,0.9879083885066389,0.0,0.8374589859297368,5,6.075435822566596,1.9036162756296495,0.0,0.7545871559633027,0.5256410256410257,7.545871559633027,0.7267094219505492,0.9364318173393545,0.011694998884387145,14.930923399864696
14,COMPLETE,0.739211688752973,1100,0.07813204152761964,0.7851945838055573,0.8322973159160914,10.0,0.9811646739736686,6,4.506629531648251,0.12068827874026004,0.0,0.739211688752973,0.5149572649572649,7.392116887529731,0.6931478759143701,0.9298123906865797,0.012583679366049087,18.596977099892683
15,COMPLETE,0.763733152112357,800,0.04086608401243992,0.7125558174348852,0.7652862052263983,0.1,0.8615506097059035,5,4.801845079339322,1.7121901273930216,0.0,0.763733152112357,0.532051282051282,7.63733152112357,0.7185162487733545,0.9346538714823666,0.019763033404080452,18.603951199911535
