trial,state,value,n_estimators,learning_rate,subsample,colsample_bytree,reg_alpha,weight_multiplier,max_depth,min_child_weight,reg_lambda,gamma,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
0,COMPLETE,0.7509578544061304,400,0.05,0.8,0.8,0.0,1.0,5,5.0,1.0,0.0,0.7509578544061304,0.5226666666666667,7.4975632183908045,0.7074835775809092,0.9291055735411077,0.02867170411321028,14.035105300019495
1,COMPLETE,0.735632183908046,600,0.05,0.8,0.8,0.0,1.0,5,5.0,1.0,0.0,0.735632183908046,0.512,7.34455172413793,0.707170440267192,0.9282409469970728,0.024830424131830852,16.68147220008541
2,COMPLETE,0.7203065134099617,100,0.09953625417954359,0.7791679199202408,0.6482166462269218,0.0,0.5846902749976715,6,3.190799383404966,0.5341837333282266,0.1,0.7203065134099617,0.5013333333333333,7.191540229885057,0.6689357683552567,0.9276436286593999,0.01953647323215624,4.475674799992703
3,COMPLETE,0.6436781609195402,200,0.025087991828977713,0.7328076710182253,0.723849072171584,0.01,0.520082372801772,2,8.295104123597612,1.123276952804061,0.01,0.6436781609195402,0.44799999999999995,6.426482758620689,0.6067237082742559,0.9059223618165078,0.024830424131830852,2.677930099889636
4,COMPLETE,0.6743295019157088,1500,0.15431045614097672,0.7078560701273976,0.7221832481513791,10.0,0.719462310816561,8,2.258324120601419,0.2695020007150263,1.0,0.6743295019157088,0.4693333333333333,6.732505747126436,0.6356785207134513,0.9184825474142057,0.03016861254410657,13.388067099964246
5,COMPLETE,0.7509578544061303,500,0.022078513048416605,0.9020608322802136,0.7356959686346864,1.0,0.5449011857855354,5,8.275467888667713,0.3037060956221795,0.1,0.7509578544061303,0.5226666666666667,7.4975632183908045,0.7100158154927755,0.9308117259199857,0.023618444455819853,16.472160999896005
6,COMPLETE,0.7126436781609197,100,0.16948695729465293,0.702592020341821,0.6032197100409828,0.01,1.4426239635621194,4,1.6095034375465789,0.27870285158372976,0.0,0.7126436781609197,0.496,7.11503448275862,0.6500252797931776,0.9205517109375257,0.028155054514749187,2.906118599930778
7,COMPLETE,0.6973180076628352,1400,0.010591840257938535,0.7885314563396397,0.8391213231604645,10.0,1.5661019578507955,3,3.041759153198633,5.065398030048326,0.1,0.6973180076628352,0.48533333333333334,6.962022988505747,0.6650469056129532,0.9219146527798404,0.021673771070852058,25.673996799974702
8,COMPLETE,0.7586206896551725,1300,0.031852503771880696,0.7273954947679844,0.9956628634421004,0.0,1.5343921469012491,6,2.596078345724197,0.644693832976795,0.01,0.7586206896551725,0.528,7.574068965517242,0.7059589621597634,0.932913890456437,0.024830424131830887,44.49793349998072
9,COMPLETE,0.6819923371647509,1100,0.17483402607964127,0.798741017200601,0.9997339302118144,0.01,1.9776675295035462,2,10.579245867328448,0.3287858915230465,1.0,0.6819923371647509,0.4746666666666666,6.809011494252874,0.6667661872490399,0.9100738892684005,0.023618444455819853,12.736002099933103
