trial,state,fold,recall_at_10,precision_at_10,lift_at_10,captured,reviewed,positives,average_precision,roc_auc,pr_auc_trapezoid,accuracy,precision,recall,f1,confusion_matrix,seconds,train_rows,valid_rows,train_positive,weight_ratio
0,COMPLETE,0,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6773312258668837,0.9129070262457056,0.6759234272605628,0.9567307692307693,0.7323943661971831,0.5977011494252874,0.6582278481012658,"[[1142, 19], [35, 52]]",3.600234500016086,2496,1248,174,13.344827586206897
0,COMPLETE,1,0.7816091954022989,0.544,7.8035862068965525,68,125,87,0.7381228202497553,0.9379597453641827,0.7371818753221396,0.9527243589743589,0.7,0.5632183908045977,0.6242038216560509,"[[1140, 21], [38, 49]]",4.809896100079641,2496,1248,174,13.344827586206897
0,COMPLETE,2,0.7586206896551724,0.528,7.574068965517242,66,125,87,0.7069966866260884,0.9364499490134347,0.7056886667426522,0.9527243589743589,0.7,0.5632183908045977,0.6242038216560509,"[[1140, 21], [38, 49]]",5.624974699923769,2496,1248,174,13.344827586206897
1,COMPLETE,0,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6821718662173144,0.9120357994990446,0.6808095275941496,0.9591346153846154,0.7647058823529411,0.5977011494252874,0.6709677419354839,"[[1145, 16], [35, 52]]",4.905339200049639,2496,1248,174,13.344827586206897
1,COMPLETE,1,0.7586206896551724,0.528,7.574068965517242,66,125,87,0.7365703895961381,0.9384052590414527,0.7356258292488931,0.9583333333333334,0.7692307692307693,0.5747126436781609,0.6578947368421053,"[[1146, 15], [37, 50]]",5.836229800013825,2496,1248,174,13.344827586206897
1,COMPLETE,2,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.7027690649881233,0.9342817824507212,0.7014475130227108,0.9519230769230769,0.7014925373134329,0.5402298850574713,0.6103896103896104,"[[1141, 20], [40, 47]]",5.939903200021945,2496,1248,174,13.344827586206897
2,COMPLETE,0,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.632133765253831,0.9043333630342453,0.6303432914257641,0.9503205128205128,0.6865671641791045,0.5287356321839081,0.5974025974025974,"[[1140, 21], [41, 46]]",1.5901546999812126,2496,1248,174,13.344827586206897
2,COMPLETE,1,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.7032191867804911,0.9334155058560297,0.7021878518527955,0.9503205128205128,0.6923076923076923,0.5172413793103449,0.5921052631578947,"[[1141, 20], [42, 45]]",1.409110500011593,2496,1248,174,13.344827586206897
2,COMPLETE,2,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.671454353031448,0.9451820170879246,0.6698251692576371,0.9487179487179487,0.6825396825396826,0.4942528735632184,0.5733333333333334,"[[1141, 20], [44, 43]]",1.4764095999998972,2496,1248,174,13.344827586206897
3,COMPLETE,0,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.5988898673528642,0.8945419624382469,0.5971392741886155,0.9238782051282052,0.46875,0.6896551724137931,0.5581395348837209,"[[1093, 68], [27, 60]]",0.880972099956125,2496,1248,174,13.344827586206897
3,COMPLETE,1,0.632183908045977,0.44,6.3117241379310345,55,125,87,0.6463475445629281,0.9085558426643697,0.6450942939810023,0.9126602564102564,0.41911764705882354,0.6551724137931034,0.5112107623318386,"[[1082, 79], [30, 57]]",0.7951831999234855,2496,1248,174,13.344827586206897
3,COMPLETE,2,0.6206896551724138,0.432,6.196965517241379,54,125,87,0.5749337129069756,0.9146692803469066,0.5730212275983059,0.9150641025641025,0.4263565891472868,0.632183908045977,0.5092592592592593,"[[1087, 74], [32, 55]]",1.0017748000100255,2496,1248,174,13.344827586206897
4,COMPLETE,0,0.6896551724137931,0.48,6.8855172413793095,60,125,87,0.6283372070867278,0.9007494530082074,0.6265039324818552,0.9447115384615384,0.6022727272727273,0.6091954022988506,0.6057142857142858,"[[1126, 35], [34, 53]]",5.713166799978353,2496,1248,174,13.344827586206897
4,COMPLETE,1,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6799061063170642,0.9267922025206174,0.6787660006361012,0.9350961538461539,0.53,0.6091954022988506,0.5668449197860963,"[[1114, 47], [34, 53]]",3.8553990999935195,2496,1248,174,13.344827586206897
4,COMPLETE,2,0.632183908045977,0.44,6.3117241379310345,55,125,87,0.598792248736562,0.9279059867137922,0.5968989958149588,0.9310897435897436,0.5056179775280899,0.5172413793103449,0.5113636363636364,"[[1117, 44], [42, 45]]",3.8195011999923736,2496,1248,174,13.344827586206897
5,COMPLETE,0,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.6933756834271866,0.9105111526923877,0.6922462419716714,0.9551282051282052,0.7246376811594203,0.5747126436781609,0.6410256410256411,"[[1142, 19], [37, 50]]",4.289611399988644,2496,1248,174,13.344827586206897
5,COMPLETE,1,0.7816091954022989,0.544,7.8035862068965525,68,125,87,0.731061506838462,0.9354153672517747,0.7301426664507147,0.9479166666666666,0.6447368421052632,0.5632183908045977,0.6012269938650306,"[[1134, 27], [38, 49]]",5.94336979999207,2496,1248,174,13.344827586206897
5,COMPLETE,2,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.7056102562126779,0.9465086578157951,0.7042548609297405,0.9543269230769231,0.7142857142857143,0.5747126436781609,0.6369426751592356,"[[1141, 20], [37, 50]]",6.239179799915291,2496,1248,174,13.344827586206897
6,COMPLETE,0,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.6048417270153813,0.9026899125803163,0.6027582557064507,0.9423076923076923,0.5882352941176471,0.5747126436781609,0.5813953488372093,"[[1126, 35], [37, 50]]",0.9022667000535876,2496,1248,174,13.344827586206897
6,COMPLETE,1,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.6998651834114007,0.9277624323066719,0.6988238845226231,0.9511217948717948,0.6585365853658537,0.6206896551724138,0.6390532544378699,"[[1133, 28], [33, 54]]",0.9499813999282196,2496,1248,174,13.344827586206897
6,COMPLETE,2,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6453689289527509,0.9312027879255893,0.6430301819810088,0.9391025641025641,0.5662650602409639,0.5402298850574713,0.5529411764705883,"[[1125, 36], [40, 47]]",1.053870499948971,2496,1248,174,13.344827586206897
7,COMPLETE,0,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6647447528731576,0.9045709703287891,0.6634283233186465,0.9158653846153846,0.4383561643835616,0.735632183908046,0.5493562231759657,"[[1079, 82], [23, 64]]",8.443679599906318,2496,1248,174,13.344827586206897
7,COMPLETE,1,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6988497441462405,0.9285544566218183,0.6978588201321562,0.9190705128205128,0.4507042253521127,0.735632183908046,0.5589519650655022,"[[1083, 78], [23, 64]]",8.130369300022721,2496,1248,174,13.344827586206897
7,COMPLETE,2,0.6666666666666666,0.464,6.656,58,125,87,0.6315462198194617,0.9326185313889137,0.6298180456454971,0.9110576923076923,0.4166666666666667,0.6896551724137931,0.5194805194805194,"[[1077, 84], [27, 60]]",9.099947900045663,2496,1248,174,13.344827586206897
8,COMPLETE,0,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.677574334954568,0.9167780450859842,0.6758808180853821,0.9567307692307693,0.7538461538461538,0.5632183908045977,0.6447368421052632,"[[1145, 16], [38, 49]]",19.785994099918753,2496,1248,174,13.344827586206897
8,COMPLETE,1,0.7701149425287356,0.536,7.688827586206897,67,125,87,0.7376568390475413,0.9438306256002059,0.7366884658308986,0.9567307692307693,0.7619047619047619,0.5517241379310345,0.64,"[[1146, 15], [39, 48]]",12.044924800051376,2496,1248,174,13.344827586206897
8,COMPLETE,2,0.7816091954022989,0.544,7.8035862068965525,68,125,87,0.702645712477181,0.938133000683121,0.7010666032871873,0.9527243589743589,0.7058823529411765,0.5517241379310345,0.6193548387096774,"[[1141, 20], [39, 48]]",12.667014600010589,2496,1248,174,13.344827586206897
9,COMPLETE,0,0.6551724137931034,0.456,6.541241379310345,57,125,87,0.6547644555952307,0.8959082043818745,0.6533647601155294,0.9503205128205128,0.654320987654321,0.6091954022988506,0.6309523809523809,"[[1133, 28], [34, 53]]",4.027945899986662,2496,1248,174,13.344827586206897
9,COMPLETE,1,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.7009133284469965,0.9182185393091568,0.6999411063495162,0.9511217948717948,0.6666666666666666,0.5977011494252874,0.6303030303030303,"[[1135, 26], [35, 52]]",3.800946099916473,2496,1248,174,13.344827586206897
9,COMPLETE,2,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.6446207777048929,0.9160949241141703,0.6431413085130208,0.9455128205128205,0.6091954022988506,0.6091954022988506,0.6091954022988506,"[[1127, 34], [34, 53]]",4.907110100029968,2496,1248,174,13.344827586206897
10,COMPLETE,0,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6730630784038336,0.9103824487411764,0.6717246612042943,0.9455128205128205,0.6021505376344086,0.6436781609195402,0.6222222222222222,"[[1124, 37], [31, 56]]",3.7493346999399364,2496,1248,174,13.344827586206897
10,COMPLETE,1,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.7128690306112522,0.9242676250160881,0.7119657544116252,0.9431089743589743,0.5869565217391305,0.6206896551724138,0.6033519553072626,"[[1123, 38], [33, 54]]",3.776057800045237,2496,1248,174,13.344827586206897
10,COMPLETE,2,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6715993976778155,0.9296880414228716,0.6701448259787163,0.9350961538461539,0.53125,0.5862068965517241,0.5573770491803278,"[[1116, 45], [36, 51]]",3.9508432999718934,2496,1248,174,13.344827586206897
11,COMPLETE,0,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.6693156726320902,0.9122635064896493,0.6677215018749032,0.9543269230769231,0.734375,0.5402298850574713,0.6225165562913907,"[[1144, 17], [40, 47]]",7.831497300066985,2496,1248,174,13.344827586206897
11,COMPLETE,1,0.7701149425287356,0.536,7.688827586206897,67,125,87,0.7393859139562573,0.9466819131347333,0.7384414883476846,0.9607371794871795,0.7878787878787878,0.5977011494252874,0.6797385620915033,"[[1147, 14], [35, 52]]",7.509261699975468,2496,1248,174,13.344827586206897
11,COMPLETE,2,0.7701149425287356,0.536,7.688827586206897,67,125,87,0.7001563597782663,0.9361034383755582,0.698758403499514,0.9519230769230769,0.6901408450704225,0.5632183908045977,0.620253164556962,"[[1139, 22], [38, 49]]",7.245493500027806,2496,1248,174,13.344827586206897
12,COMPLETE,0,0.6896551724137931,0.48,6.8855172413793095,60,125,87,0.6436980821026219,0.9085211916005822,0.641770111500335,0.9543269230769231,0.7419354838709677,0.5287356321839081,0.6174496644295302,"[[1145, 16], [41, 46]]",13.42679409997072,2496,1248,174,13.344827586206897
