trial,state,value,n_estimators,learning_rate,subsample,colsample_bytree,reg_alpha,weight_multiplier,max_depth,min_child_weight,reg_lambda,gamma,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
29,COMPLETE,0.7279693486590039,1200,0.13568215477828527,0.9287658532330995,0.8641818523816336,10.0,1.493337868721756,3,8.424938109357493,1.5408204483216523,0.5,0.7279693486590039,0.5066666666666667,7.268045977011494,0.6789366621762377,0.930443764623574,0.023618444455819804,7.5757248000008985
30,COMPLETE,0.7586206896551725,1600,0.08782794610597032,0.9712230671720391,0.8770045282463458,0.0,1.322512515324586,3,11.474412489151494,1.9348373812583677,0.5,0.7586206896551725,0.528,7.574068965517242,0.7130591605657187,0.9327241346309331,0.018770036343166138,10.100968300015666
31,COMPLETE,0.7318007662835249,1600,0.09043037281898621,0.9501105268837994,0.8115112967079162,0.0,1.402545992073653,2,8.033019647745169,1.2151102302677337,0.01,0.7318007662835249,0.5093333333333333,7.306298850574713,0.6965248807509749,0.929037921464189,0.028671704113210243,14.850459999986924
32,COMPLETE,0.7432950191570882,1500,0.1562779514788313,0.9794097503693283,0.8851671610698717,0.0,1.5204096438403099,4,13.74102885217075,1.7718807723058454,0.5,0.7432950191570882,0.5173333333333333,7.421057471264368,0.7106373942356127,0.9328957398992149,0.023618444455819804,13.176113500026986
33,COMPLETE,0.7547892720306514,1300,0.06289985474044851,0.9629221013377808,0.8240443138575824,0.0,1.7132465550375346,3,6.564257066505541,0.5074121504522616,0.5,0.7547892720306514,0.5253333333333333,7.535816091954023,0.7131307947926041,0.9336019615802206,0.010836885535426003,16.222082399995998
34,COMPLETE,0.739463601532567,1300,0.09634960263873683,0.9242380830466258,0.8863628866898818,0.0,1.400421125973746,4,16.49260660493876,0.6183921542265973,0.5,0.739463601532567,0.5146666666666667,7.382804597701149,0.6994800536391965,0.9319156098092213,0.01953647323215624,9.416391600039788
35,COMPLETE,0.7624521072796936,1400,0.08538275575274287,0.9496175991015057,0.9926200098153825,0.0,1.3154446188237288,3,9.6525988023398,3.8901287275161414,0.5,0.7624521072796936,0.5306666666666667,7.612321839080461,0.7189203694702418,0.9353972166945526,0.014335852056605172,11.097196800052188
36,COMPLETE,0.7394636015325671,1600,0.06158403882936631,0.9992331403576531,0.8167631209846108,0.0,1.3413362951307897,2,16.113245882739456,1.85996240496646,0.5,0.7394636015325671,0.5146666666666667,7.382804597701149,0.700532621919909,0.9284637038357078,0.021673771070852006,10.76708639995195
37,COMPLETE,0.7547892720306514,1400,0.07801210685725181,0.9422659795932128,0.9421393259127161,0.0,1.7257630277679623,4,5.4911417491470464,2.3112954534631687,0.5,0.7547892720306514,0.5253333333333333,7.535816091954023,0.7205076781985534,0.9346678943043552,0.010836885535426003,12.541564799961634
38,COMPLETE,0.7126436781609197,1600,0.084678886808177,0.9405315240648765,0.7191772654676901,0.0,1.4788092943914382,2,7.897711154631471,0.9910599428544139,5.0,0.7126436781609197,0.496,7.11503448275862,0.6572476047559912,0.9198702400163685,0.016255328303139003,7.8891084000933915
39,COMPLETE,0.7471264367816092,1600,0.10780638725144732,0.9608222748278092,0.8031412666384881,0.0,1.1296003985173682,3,15.581389723865376,1.6679012523425585,0.5,0.7471264367816092,0.52,7.459310344827586,0.7088980674435089,0.9324997277416416,0.018770036343166093,12.757250300026499
