fold,xgboost,lightgbm,difference
1,0.7846153846153846,0.7230769230769231,0.06153846153846154
2,0.8153846153846154,0.8,0.01538461538461533
3,0.7692307692307693,0.7538461538461538,0.015384615384615441
4,0.8307692307692308,0.8307692307692308,0.0
5,0.7575757575757576,0.7727272727272727,-0.015151515151515138
