trial,state,value,n_estimators,learning_rate,subsample,colsample_bytree,reg_alpha,weight_multiplier,num_leaves,min_child_samples,reg_lambda,min_split_gain,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
0,COMPLETE,0.7432950191570882,200,0.05,1.0,1.0,0.0,1.0,31,20,0.0,0.0,0.7432950191570882,0.5173333333333333,7.421057471264368,0.6853791409414655,0.9369020628933309,0.039072946464312516,10.885424999985844
1,COMPLETE,0.7777777777777778,600,0.05,1.0,1.0,0.0,1.0,31,20,0.0,0.0,0.7777777777777778,0.5413333333333333,7.765333333333333,0.7243256724283761,0.9456209305625682,0.0516886496675557,18.44295410020277
2,COMPLETE,0.685823754789272,1100,0.045457966121633275,0.9514405883686208,0.6727360901486138,1.0,1.2070105037753602,83,44,5.0,5.0,0.685823754789272,0.47733333333333333,6.847264367816091,0.6179601649269757,0.9216555948267612,0.030168612544106573,4.500278400024399
3,COMPLETE,0.7279693486590038,800,0.0736659930731716,0.68452481490056,0.9230105295397915,1.0,1.3458461343943022,46,24,0.1,0.0,0.7279693486590038,0.5066666666666667,7.268045977011494,0.686143003338656,0.9353972166945526,0.05336547232637596,9.716920400154777
4,COMPLETE,0.739463601532567,400,0.16441790012735116,0.9953991504175699,0.604406677941596,0.0,0.9668281677508199,124,21,1.0,0.0,0.739463601532567,0.5146666666666667,7.382804597701149,0.6963617223810113,0.9401856636998757,0.05336547232637596,8.503002299927175
5,COMPLETE,0.7394636015325671,300,0.10851035250610733,0.8092968453700494,0.9576697250941898,0.0,0.5579475241476559,12,15,10.0,0.0,0.7394636015325671,0.5146666666666667,7.38280459770115,0.7082679956180985,0.9357140264206111,0.03792909937399105,5.740170400007628
6,COMPLETE,0.7586206896551725,800,0.05031577332355008,0.9676451359840592,0.7822225177242461,1.0,1.6634591795233509,8,11,0.0,0.0,0.7586206896551725,0.528,7.574068965517242,0.7259339951523209,0.942918147587131,0.03383816423880401,10.99952730012592
7,COMPLETE,0.7279693486590038,1000,0.05028442843786693,0.7660867547402413,0.705396926534828,0.01,1.042145750921609,83,12,0.1,0.01,0.7279693486590038,0.5066666666666667,7.268045977011494,0.6838682792962093,0.9372551737338336,0.05336547232637596,13.05047670006752
8,COMPLETE,0.6934865900383141,700,0.01023377142351353,0.6455395394003552,0.8767278713941729,5.0,1.987239385338236,122,68,0.0,0.01,0.6934865900383141,0.48266666666666663,6.923770114942529,0.6365364008890798,0.9257246197458263,0.03553110534672684,9.50335710006766
9,COMPLETE,0.7471264367816092,1000,0.011305175068568865,0.9190424355489439,0.8149378480802172,0.1,0.8504064623125445,101,12,5.0,0.01,0.7471264367816092,0.52,7.4593103448275855,0.6861447063522678,0.937027466743229,0.048765984909417116,37.72894830000587
