trial,state,fold,recall_at_10,precision_at_10,lift_at_10,captured,reviewed,positives,average_precision,roc_auc,pr_auc_trapezoid,accuracy,precision,recall,f1,confusion_matrix,seconds,train_rows,valid_rows,train_positive,weight_ratio
0,COMPLETE,0,0.6896551724137931,0.48,6.8855172413793095,60,125,87,0.6332198802301375,0.9245299830704803,0.6311279476162509,0.9503205128205128,0.676056338028169,0.5517241379310345,0.6075949367088608,"[[1138, 23], [39, 48]]",4.45954209996853,2496,1248,174,13.344827586206897
0,COMPLETE,1,0.7586206896551724,0.528,7.574068965517242,66,125,87,0.7082335627292965,0.9361034383755581,0.7062955454523444,0.9543269230769231,0.7419354838709677,0.5287356321839081,0.6174496644295302,"[[1145, 16], [41, 46]]",3.5961769999703392,2496,1248,174,13.344827586206897
0,COMPLETE,2,0.7816091954022989,0.544,7.8035862068965525,68,125,87,0.7146839798649626,0.9500727672339542,0.712911803905057,0.9551282051282052,0.7066666666666667,0.6091954022988506,0.654320987654321,"[[1139, 22], [34, 53]]",2.8297059000469744,2496,1248,174,13.344827586206897
1,COMPLETE,0,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6666370093037115,0.9331036462819409,0.6649736492603122,0.9551282051282052,0.746031746031746,0.5402298850574713,0.6266666666666667,"[[1145, 16], [40, 47]]",6.24076270009391,2496,1248,174,13.344827586206897
1,COMPLETE,1,0.7816091954022989,0.544,7.8035862068965525,68,125,87,0.757191499479834,0.9440929836545983,0.7558462358925642,0.9567307692307693,0.7704918032786885,0.5402298850574713,0.6351351351351351,"[[1147, 14], [40, 47]]",6.210500300046988,2496,1248,174,13.344827586206897
1,COMPLETE,2,0.8390804597701149,0.584,8.377379310344827,73,125,87,0.7491485085015831,0.9596661617511658,0.7475373244712898,0.9623397435897436,0.7941176470588235,0.6206896551724138,0.6967741935483871,"[[1147, 14], [33, 54]]",5.991691100061871,2496,1248,174,13.344827586206897
2,COMPLETE,0,0.6436781609195402,0.448,6.42648275862069,56,125,87,0.6061076966410585,0.9080657776193729,0.6045109960251208,0.8902243589743589,0.35294117647058826,0.6896551724137931,0.4669260700389105,"[[1051, 110], [27, 60]]",1.4532438999740407,2496,1248,174,13.344827586206897
2,COMPLETE,1,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6298728197259054,0.9192828219826349,0.6278604079985132,0.9086538461538461,0.4171779141104294,0.7816091954022989,0.544,"[[1066, 95], [19, 68]]",1.5218328000046313,2496,1248,174,13.344827586206897
2,COMPLETE,2,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6178999784139633,0.9376181848782759,0.6158055702316172,0.9142628205128205,0.43902439024390244,0.8275862068965517,0.5737051792828686,"[[1069, 92], [15, 72]]",1.5252017000457272,2496,1248,174,13.344827586206897
3,COMPLETE,0,0.6551724137931034,0.456,6.541241379310345,57,125,87,0.6436962618723828,0.9175700694011306,0.6420158535627127,0.9479166666666666,0.6447368421052632,0.5632183908045977,0.6012269938650306,"[[1134, 27], [38, 49]]",3.3151269000954926,2496,1248,174,13.344827586206897
