trial,state,fold,recall_at_10,precision_at_10,lift_at_10,captured,reviewed,positives,average_precision,roc_auc,pr_auc_trapezoid,accuracy,precision,recall,f1,confusion_matrix,seconds,train_rows,valid_rows,train_positive,weight_ratio
0,COMPLETE,0,0.627906976744186,0.432,6.269023255813953,54,125,86,0.6440281158175497,0.9029940359444422,0.642835925186146,0.9503205128205128,0.6764705882352942,0.5348837209302325,0.5974025974025974,"[[1140, 22], [40, 46]]",2.6788925000000745,2496,1248,174,13.344827586206897
0,COMPLETE,1,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6426124287265181,0.9245547338303286,0.6410379960951967,0.9391025641025641,0.5578947368421052,0.6091954022988506,0.5824175824175825,"[[1119, 42], [34, 53]]",2.8581430000485852,2496,1248,173,13.427745664739884
0,COMPLETE,2,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.7060017965367166,0.9268367538883444,0.7049878333356501,0.9519230769230769,0.6956521739130435,0.5517241379310345,0.6153846153846154,"[[1140, 21], [39, 48]]",3.011984199983999,2496,1248,173,13.427745664739884
1,COMPLETE,0,0.627906976744186,0.432,6.269023255813953,54,125,86,0.6448654702072049,0.9008425729496057,0.6436887131185629,0.9543269230769231,0.7301587301587301,0.5348837209302325,0.6174496644295302,"[[1145, 17], [40, 46]]",4.247634500032291,2496,1248,174,13.344827586206897
1,COMPLETE,1,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6483666208923431,0.9253368578415356,0.6468345081742173,0.9399038461538461,0.5652173913043478,0.5977011494252874,0.5810055865921788,"[[1121, 40], [35, 52]]",4.514525300008245,2496,1248,173,13.427745664739884
1,COMPLETE,2,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.696711036520834,0.9218371003989823,0.695654517640452,0.9575320512820513,0.765625,0.5632183908045977,0.6490066225165563,"[[1146, 15], [38, 49]]",3.542493600049056,2496,1248,173,13.427745664739884
2,COMPLETE,0,0.627906976744186,0.432,6.269023255813953,54,125,86,0.6041911655919111,0.8969098987311371,0.6026069304189666,0.9206730769230769,0.4462809917355372,0.627906976744186,0.5217391304347826,"[[1095, 67], [32, 54]]",2.244180800043978,2496,1248,174,13.344827586206897
2,COMPLETE,1,0.6666666666666666,0.464,6.656,58,125,87,0.6007740648805087,0.9216836456879226,0.5987736125135934,0.9198717948717948,0.45185185185185184,0.7011494252873564,0.5495495495495496,"[[1087, 74], [26, 61]]",2.5687489999691024,2496,1248,173,13.427745664739884
2,COMPLETE,2,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.623673346761035,0.9137782529923668,0.6217687595578855,0.9246794871794872,0.472,0.6781609195402298,0.5566037735849056,"[[1095, 66], [28, 59]]",2.7101275000022724,2496,1248,173,13.427745664739884
3,COMPLETE,0,0.6511627906976745,0.448,6.501209302325581,56,125,86,0.6031787220639508,0.9030140495536965,0.6014391583696531,0.9126602564102564,0.4172661870503597,0.6744186046511628,0.5155555555555555,"[[1081, 81], [28, 58]]",3.0118666000198573,2496,1248,174,13.344827586206897
3,COMPLETE,1,0.6551724137931034,0.456,6.541241379310345,57,125,87,0.6007507437559211,0.9160949241141703,0.5991058295285069,0.90625,0.40963855421686746,0.7816091954022989,0.5375494071146245,"[[1063, 98], [19, 68]]",1.9160227000247687,2496,1248,173,13.427745664739884
3,COMPLETE,2,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6627737503748208,0.9210945776035324,0.6612427565992384,0.9198717948717948,0.45517241379310347,0.7586206896551724,0.5689655172413793,"[[1082, 79], [21, 66]]",2.0780500000109896,2496,1248,173,13.427745664739884
4,COMPLETE,0,0.6511627906976745,0.448,6.501209302325581,56,125,86,0.6451104438426905,0.9074570708081495,0.6438312691979388,0.9495192307692307,0.676923076923077,0.5116279069767442,0.5827814569536424,"[[1141, 21], [42, 44]]",6.4534936000127345,2496,1248,174,13.344827586206897
4,COMPLETE,1,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6369530780994349,0.9275000742522795,0.6352337885515159,0.9399038461538461,0.5681818181818182,0.5747126436781609,0.5714285714285714,"[[1123, 38], [37, 50]]",6.157357799937017,2496,1248,173,13.427745664739884
4,COMPLETE,2,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.7060672702902073,0.9240250675695744,0.7049613923630508,0.9527243589743589,0.71875,0.5287356321839081,0.609271523178808,"[[1143, 18], [41, 46]]",5.948253999929875,2496,1248,173,13.427745664739884
5,COMPLETE,0,0.6511627906976745,0.448,6.501209302325581,56,125,86,0.6257623238713402,0.9034743625665452,0.6242035165029048,0.9407051282051282,0.5714285714285714,0.5581395348837209,0.5647058823529412,"[[1126, 36], [38, 48]]",6.445701199932955,2496,1248,174,13.344827586206897
5,COMPLETE,1,0.6551724137931034,0.456,6.541241379310345,57,125,87,0.5884997076495792,0.9113378280713218,0.5863363496329497,0.9302884615384616,0.5,0.6091954022988506,0.5492227979274611,"[[1108, 53], [34, 53]]",5.955270100035705,2496,1248,173,13.427745664739884
