trial,state,value,n_estimators,learning_rate,subsample,colsample_bytree,reg_alpha,weight_multiplier,max_depth,min_child_weight,reg_lambda,gamma,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
0,COMPLETE,0.6805666933974873,400,0.05,0.8,0.8,0.0,1.0,5,5.0,1.0,0.0,0.6805666933974873,0.472,6.794777866880512,0.6642141136935948,0.9181285078877051,0.03753055449261606,8.549019700032659
1,COMPLETE,0.6805666933974873,600,0.05,0.8,0.8,0.0,1.0,5,5.0,1.0,0.0,0.6805666933974873,0.472,6.794777866880512,0.6633143758734606,0.9160055103967079,0.03753055449261606,12.304653400089592
2,COMPLETE,0.6575781876503609,600,0.0436507635020946,0.6210163553355025,0.6244574039256798,10.0,1.6972327191030698,3,1.3424390754884725,0.6046078064928971,0.0,0.6575781876503609,0.45599999999999996,6.565260625501202,0.6095461924111517,0.9107905991371421,0.02149907020872272,7.523057300015353
3,COMPLETE,0.672992960883899,500,0.039632199775006816,0.909509902572881,0.9951225179653742,5.0,1.9818878814855967,4,13.095718936031068,0.26083917442439997,5.0,0.672992960883899,0.4666666666666666,6.719161721464849,0.6222344053982309,0.9134011837571331,0.028085035217810722,7.005939300055616
4,COMPLETE,0.7036443018800678,800,0.016319057354981174,0.8959880666193192,0.7122231447229433,0.0,0.536335012932873,5,2.3623675649030202,2.256824633882275,0.01,0.7036443018800678,0.488,7.0251847099705955,0.6627102640774443,0.9196607375433344,0.039690443203319846,18.559105399879627
5,COMPLETE,0.665330125634857,1600,0.07139765047443844,0.7334577119379339,0.9813200983816379,10.0,1.124615889936625,6,1.241151125241904,6.525606224408172,0.01,0.665330125634857,0.4613333333333333,6.642655974338413,0.6181137619368903,0.9090747338955355,0.017278120942199757,18.616032399935648
6,COMPLETE,0.6882295286465294,300,0.07373984315846407,0.8816615405897379,0.7339916245512049,1.0,1.827072432205912,4,19.431293430504567,0.8111083953621706,5.0,0.6882295286465294,0.47733333333333333,6.871283614006949,0.6362087391597022,0.9140790407549505,0.04868157939109368,3.5767327999928966
7,COMPLETE,0.6575781876503609,900,0.05115258666552247,0.6045860241262244,0.9870342779771006,10.0,1.1600172079889994,5,15.415942749230778,0.10201134511411435,1.0,0.6575781876503609,0.45599999999999996,6.565260625501202,0.6201778955835687,0.9132237450911775,0.02149907020872272,10.943199599976651
8,COMPLETE,0.676958032611601,1500,0.11235859217769446,0.6671313461680443,0.6948637190334036,1.0,1.81512647893855,4,10.553543477055083,1.9862037108517623,0.1,0.676958032611601,0.4693333333333333,6.758748997594225,0.634125421222178,0.9119973612707982,0.007957378144536785,11.372978599974886
9,COMPLETE,0.661498708010336,200,0.15142612001601186,0.6690011019389246,0.7440501258031323,10.0,1.0269009074120259,8,1.7215448598438832,0.5148840143831249,0.0,0.661498708010336,0.4586666666666666,6.604403100775194,0.5964693527832843,0.9110848718976499,0.020142737094815722,5.848742500063963
