trial,state,fold,recall_at_10,precision_at_10,lift_at_10,captured,reviewed,positives,average_precision,roc_auc,pr_auc_trapezoid,accuracy,precision,recall,f1,confusion_matrix,seconds,train_rows,valid_rows,train_positive,weight_ratio
0,COMPLETE,0,0.7816091954022989,0.544,7.8035862068965525,68,125,87,0.7079626995125241,0.9334105557040601,0.7067327345204052,0.9535256410256411,0.7543859649122807,0.4942528735632184,0.5972222222222222,"[[1147, 14], [44, 43]]",5.9667256999528036,2496,1248,174,13.344827586206897
0,COMPLETE,1,0.6666666666666666,0.464,6.656,58,125,87,0.5982201547285312,0.9013335709406279,0.5960048331276377,0.9455128205128205,0.6461538461538462,0.4827586206896552,0.5526315789473685,"[[1138, 23], [45, 42]]",5.2183641999727115,2496,1248,174,13.344827586206897
0,COMPLETE,2,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.7378888654951911,0.951656815864247,0.7364535248802879,0.9623397435897436,0.8333333333333334,0.5747126436781609,0.6802721088435374,"[[1151, 10], [37, 50]]",5.4267186999786645,2496,1248,174,13.344827586206897
1,COMPLETE,0,0.7586206896551724,0.528,7.574068965517242,66,125,87,0.7374195344385687,0.9408060827467404,0.7363704921954661,0.9567307692307693,0.8113207547169812,0.4942528735632184,0.6142857142857143,"[[1151, 10], [44, 43]]",10.570949500077404,2496,1248,174,13.344827586206897
1,COMPLETE,1,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.6098099844585846,0.9086498955517934,0.6077238057054553,0.9479166666666666,0.6774193548387096,0.4827586206896552,0.5637583892617449,"[[1141, 20], [45, 42]]",11.18589449999854,2496,1248,174,13.344827586206897
1,COMPLETE,2,0.7586206896551724,0.528,7.574068965517242,66,125,87,0.7491893198203691,0.9547853119090757,0.7477644523369357,0.9631410256410257,0.9019607843137255,0.5287356321839081,0.6666666666666666,"[[1156, 5], [41, 46]]",9.612083400017582,2496,1248,174,13.344827586206897
2,COMPLETE,0,0.6896551724137931,0.48,6.8855172413793095,60,125,87,0.6342143021063396,0.9210401259318661,0.6324925295356052,0.9262820512820513,0.48,0.6896551724137931,0.5660377358490566,"[[1096, 65], [27, 60]]",1.0593903999542817,2496,1248,174,13.344827586206897
2,COMPLETE,1,0.6091954022988506,0.424,6.082206896551724,53,125,87,0.5842574097730596,0.8916015721682655,0.5826590111330042,0.9134615384615384,0.41732283464566927,0.6091954022988506,0.4953271028037383,"[[1087, 74], [34, 53]]",0.9756026999093592,2496,1248,174,13.344827586206897
2,COMPLETE,2,0.6896551724137931,0.48,6.8855172413793095,60,125,87,0.6672686710968777,0.9329452414189116,0.6659076375019674,0.9182692307692307,0.44525547445255476,0.7011494252873564,0.5446428571428571,"[[1085, 76], [26, 61]]",1.0543415000429377,2496,1248,174,13.344827586206897
3,COMPLETE,0,0.6666666666666666,0.464,6.656,58,125,87,0.6597668219469373,0.9238419119466967,0.6583515217225182,0.9358974358974359,0.5333333333333333,0.6436781609195402,0.5833333333333334,"[[1112, 49], [31, 56]]",5.942190899979323,2496,1248,174,13.344827586206897
3,COMPLETE,1,0.6436781609195402,0.448,6.42648275862069,56,125,87,0.624409249333796,0.8944330590949142,0.623155878872201,0.9270833333333334,0.48148148148148145,0.5977011494252874,0.5333333333333333,"[[1105, 56], [35, 52]]",4.7010592999868095,2496,1248,174,13.344827586206897
3,COMPLETE,2,0.6896551724137931,0.48,6.8855172413793095,60,125,87,0.6870110977225147,0.9334501569198175,0.6858185874994174,0.938301282051282,0.5520833333333334,0.6091954022988506,0.5792349726775956,"[[1118, 43], [34, 53]]",6.423096599988639,2496,1248,174,13.344827586206897
4,COMPLETE,0,0.7701149425287356,0.536,7.688827586206897,67,125,87,0.70705510000329,0.9388953240864494,0.7058052604767225,0.9479166666666666,0.6309523809523809,0.6091954022988506,0.6198830409356725,"[[1130, 31], [34, 53]]",7.779189600027166,2496,1248,174,13.344827586206897
4,COMPLETE,1,0.6551724137931034,0.456,6.541241379310345,57,125,87,0.6154416717343298,0.8987792925242805,0.6139639335780167,0.9391025641025641,0.5604395604395604,0.5862068965517241,0.5730337078651685,"[[1121, 40], [36, 51]]",10.582663799985312,2496,1248,174,13.344827586206897
4,COMPLETE,2,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.7238898955212572,0.9471620778757908,0.722627464812312,0.9527243589743589,0.675,0.6206896551724138,0.6467065868263473,"[[1135, 26], [33, 54]]",6.568074099952355,2496,1248,174,13.344827586206897
5,COMPLETE,0,0.7816091954022989,0.544,7.8035862068965525,68,125,87,0.7422329711341936,0.9402813666379558,0.7412313415570508,0.9599358974358975,0.8245614035087719,0.5402298850574713,0.6527777777777778,"[[1151, 10], [40, 47]]",10.416636100038886,2496,1248,174,13.344827586206897
5,COMPLETE,1,0.6666666666666666,0.464,6.656,58,125,87,0.6303633041930213,0.9010464621263873,0.6288543405422323,0.9487179487179487,0.6949152542372882,0.47126436781609193,0.5616438356164384,"[[1143, 18], [46, 41]]",10.100663800025359,2496,1248,174,13.344827586206897
5,COMPLETE,2,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.7375188224128718,0.954230894888473,0.7358456248279228,0.9631410256410257,0.8727272727272727,0.5517241379310345,0.676056338028169,"[[1154, 7], [39, 48]]",8.833064800011925,2496,1248,174,13.344827586206897
6,COMPLETE,0,0.7586206896551724,0.528,7.574068965517242,66,125,87,0.7115872118879306,0.9343213836664787,0.7103444534815586,0.9503205128205128,0.6623376623376623,0.5862068965517241,0.6219512195121951,"[[1135, 26], [36, 51]]",2.895476899924688,2496,1248,174,13.344827586206897
6,COMPLETE,1,0.632183908045977,0.44,6.3117241379310345,55,125,87,0.6155200585918033,0.8954923916164226,0.6141852687723106,0.9423076923076923,0.6,0.5172413793103449,0.5555555555555556,"[[1131, 30], [42, 45]]",2.79167090007104,2496,1248,174,13.344827586206897
6,COMPLETE,2,0.7701149425287356,0.536,7.688827586206897,67,125,87,0.7338638793540145,0.950191570881226,0.7325763093738556,0.9543269230769231,0.7083333333333334,0.5862068965517241,0.6415094339622641,"[[1140, 21], [36, 51]]",2.988492599921301,2496,1248,174,13.344827586206897
