trial,state,value,n_estimators,learning_rate,subsample,colsample_bytree,reg_alpha,weight_multiplier,num_leaves,min_child_samples,reg_lambda,min_split_gain,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
0,COMPLETE,0.7318007662835249,200,0.05,1.0,1.0,0.0,1.0,31,20,0.0,0.0,0.7318007662835249,0.5093333333333333,7.306298850574713,0.6813572399120821,0.9288003141696449,0.048160172758530816,16.61180859990418
1,COMPLETE,0.7318007662835249,600,0.05,1.0,1.0,0.0,1.0,31,20,0.0,0.0,0.7318007662835249,0.5093333333333333,7.306298850574713,0.6988062795725075,0.9347470967358698,0.03792909937399106,31.368927400093526
2,COMPLETE,0.6628352490421456,200,0.16956910604161815,0.9006651889091035,0.7917804756715459,10.0,1.01931936737439,37,17,20.0,0.1,0.6628352490421456,0.4613333333333333,6.61774712643678,0.6285801276587589,0.9151956465063478,0.03792909937399106,3.0893345999065787
3,COMPLETE,0.6666666666666666,1500,0.1222356733740852,0.6150217075975509,0.9480630248030152,5.0,1.256521480915302,11,6,0.0,0.5,0.6666666666666666,0.46399999999999997,6.655999999999999,0.6570623896677493,0.9172417093204762,0.018770036343166138,17.066346799954772
4,COMPLETE,0.7164750957854406,500,0.01781489828459484,0.946068892592139,0.927536105131066,1.0,1.8183692084971166,77,34,0.01,0.1,0.7164750957854406,0.49866666666666665,7.153287356321839,0.6821288890862922,0.9282788981621736,0.04723688891163966,24.929927499964833
5,COMPLETE,0.7318007662835249,1500,0.03705881764729341,0.8403119909918395,0.8280818928873781,0.01,1.6099266191082366,24,7,0.0,0.0,0.7318007662835249,0.5093333333333333,7.306298850574713,0.7033716992466955,0.931852907884272,0.048160172758530816,29.35036470007617
6,COMPLETE,0.7203065134099617,700,0.017199026327554028,0.7924439007978433,0.6061093933053041,0.1,0.7293954689023715,17,41,0.0,0.5,0.7203065134099617,0.5013333333333333,7.1915402298850575,0.6869903832779162,0.9266684487213758,0.06248853038429151,8.675640399917029
7,COMPLETE,0.685823754789272,1600,0.17664433050919975,0.6571073267524078,0.7588954454746113,10.0,0.6203455163605791,65,13,0.01,0.0,0.685823754789272,0.47733333333333333,6.847264367816091,0.6294340299622447,0.911781691697935,0.03792909937399106,5.985963599872775
8,COMPLETE,0.6934865900383143,600,0.017635477035545917,0.644022476847213,0.8743131545038392,0.1,1.2410588257226682,88,67,1.0,0.01,0.6934865900383143,0.48266666666666663,6.923770114942529,0.6593325887143369,0.9206540140782322,0.051688649667555694,11.038241499918513
9,COMPLETE,0.685823754789272,1300,0.012064494913888077,0.8336031580975789,0.7364124487477866,10.0,1.0342127413092521,125,7,0.1,0.01,0.685823754789272,0.47733333333333333,6.847264367816091,0.6336398432925492,0.9194709277574823,0.03907294646431253,15.051706900005229
10,COMPLETE,0.7088122605363983,1400,0.08926792314441745,0.8828795266092432,0.8102620663106179,0.0,1.5579455823865829,28,60,0.0,0.1,0.7088122605363983,0.49333333333333335,7.076781609195403,0.6749951746191393,0.9258863247101686,0.03016861254410657,7.494753000093624
