trial,state,fold,recall_at_10,precision_at_10,lift_at_10,captured,reviewed,positives,average_precision,roc_auc,pr_auc_trapezoid,accuracy,precision,recall,f1,confusion_matrix,seconds,train_rows,valid_rows,train_positive,weight_ratio
0,COMPLETE,0,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.6710284434589099,0.9047986773193936,0.6692666461827348,0.9543269230769231,0.75,0.5172413793103449,0.6122448979591837,"[[1146, 15], [42, 45]]",2.5604798999847844,2496,1248,174,13.344827586206897
0,COMPLETE,1,0.7816091954022989,0.544,7.8035862068965525,68,125,87,0.751636263108372,0.9374251289514588,0.75073160409016,0.9599358974358975,0.7761194029850746,0.5977011494252874,0.6753246753246753,"[[1146, 15], [35, 52]]",2.777656099991873,2496,1248,174,13.344827586206897
0,COMPLETE,2,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.7006303931794747,0.9424297325927906,0.6993725254233225,0.9511217948717948,0.7166666666666667,0.4942528735632184,0.5850340136054422,"[[1144, 17], [44, 43]]",3.8373471000231802,2496,1248,174,13.344827586206897
1,COMPLETE,0,0.735632183908046,0.512,7.344551724137931,64,125,87,0.683277810655966,0.9140455611987288,0.6809169483976434,0.9591346153846154,0.8333333333333334,0.5172413793103449,0.6382978723404256,"[[1152, 9], [42, 45]]",7.764316399930976,2496,1248,174,13.344827586206897
1,COMPLETE,1,0.7701149425287356,0.536,7.688827586206897,67,125,87,0.7714135488552639,0.9461571970259487,0.7705796607000245,0.9607371794871795,0.8275862068965517,0.5517241379310345,0.6620689655172414,"[[1151, 10], [39, 48]]",7.062113899970427,2496,1248,174,13.344827586206897
1,COMPLETE,2,0.7586206896551724,0.528,7.574068965517242,66,125,87,0.7409802678690576,0.9449741107051987,0.7399491821975889,0.9567307692307693,0.7894736842105263,0.5172413793103449,0.625,"[[1149, 12], [42, 45]]",7.375661100028083,2496,1248,174,13.344827586206897
2,COMPLETE,0,0.6896551724137931,0.48,6.8855172413793095,60,125,87,0.6705768700369935,0.9111051709287474,0.668839109096105,0.9543269230769231,0.7205882352941176,0.5632183908045977,0.632258064516129,"[[1142, 19], [38, 49]]",8.144866999937221,2496,1248,174,13.344827586206897
2,COMPLETE,1,0.7816091954022989,0.544,7.8035862068965525,68,125,87,0.742365602213936,0.9443355411011117,0.7414035924894014,0.9535256410256411,0.704225352112676,0.5747126436781609,0.6329113924050633,"[[1140, 21], [37, 50]]",9.111108499928378,2496,1248,174,13.344827586206897
2,COMPLETE,2,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.6759364289423628,0.9415585058461295,0.6745044534258139,0.9487179487179487,0.6619718309859155,0.5402298850574713,0.5949367088607594,"[[1137, 24], [40, 47]]",7.299728999962099,2496,1248,174,13.344827586206897
3,COMPLETE,0,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.7015194932655923,0.910253744789965,0.7004812965058211,0.9391025641025641,0.5514018691588785,0.6781609195402298,0.6082474226804123,"[[1113, 48], [28, 59]]",0.8504568000789732,2496,1248,174,13.344827586206897
3,COMPLETE,1,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.7239266025891982,0.9346035423287495,0.7230253283497878,0.938301282051282,0.5454545454545454,0.6896551724137931,0.6091370558375635,"[[1111, 50], [27, 60]]",1.838088099961169,2496,1248,174,13.344827586206897
3,COMPLETE,2,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.6704830143628381,0.9393507380676588,0.6688817088690964,0.9358974358974359,0.5315315315315315,0.6781609195402298,0.5959595959595959,"[[1109, 52], [28, 59]]",1.0977252000011504,2496,1248,174,13.344827586206897
4,COMPLETE,0,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.6779762233157439,0.9102438444860258,0.6767405652583875,0.9431089743589743,0.5851063829787234,0.632183908045977,0.6077348066298343,"[[1122, 39], [32, 55]]",0.933173600002192,2496,1248,174,13.344827586206897
4,COMPLETE,1,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.6883147396154567,0.9337323155820884,0.6870503855379788,0.9423076923076923,0.5824175824175825,0.6091954022988506,0.5955056179775281,"[[1123, 38], [34, 53]]",0.9952640999108553,2496,1248,174,13.344827586206897
4,COMPLETE,2,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.6447972421478028,0.9359747344243468,0.6430825320712714,0.9423076923076923,0.5862068965517241,0.5862068965517241,0.5862068965517241,"[[1125, 36], [36, 51]]",0.9864493000786752,2496,1248,174,13.344827586206897
5,COMPLETE,0,0.6666666666666666,0.464,6.656,58,125,87,0.6322929217096048,0.9019473897848663,0.6304212692874606,0.9463141025641025,0.6162790697674418,0.6091954022988506,0.6127167630057804,"[[1128, 33], [34, 53]]",9.193202700000256,2496,1248,174,13.344827586206897
5,COMPLETE,1,0.735632183908046,0.512,7.344551724137931,64,125,87,0.686889398232652,0.9340293247002683,0.6856290076802245,0.9439102564102564,0.5955056179775281,0.6091954022988506,0.6022727272727273,"[[1125, 36], [34, 53]]",7.353286499972455,2496,1248,174,13.344827586206897
5,COMPLETE,2,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.6356019601255558,0.9338362687734513,0.6337013864672117,0.938301282051282,0.5568181818181818,0.5632183908045977,0.56,"[[1122, 39], [38, 49]]",6.725567499990575,2496,1248,174,13.344827586206897
6,COMPLETE,0,0.6206896551724138,0.432,6.196965517241379,54,125,87,0.5122329900931095,0.8800380171671269,0.5094526380575959,0.9158653846153846,0.4274193548387097,0.6091954022988506,0.5023696682464455,"[[1090, 71], [34, 53]]",0.5040399000281468,2496,1248,174,13.344827586206897
6,COMPLETE,1,0.6206896551724138,0.432,6.196965517241379,54,125,87,0.5900947953330355,0.8985416852297365,0.5884398341874923,0.90625,0.3972602739726027,0.6666666666666666,0.4978540772532189,"[[1073, 88], [29, 58]]",0.5857908999314532,2496,1248,174,13.344827586206897
6,COMPLETE,2,0.632183908045977,0.44,6.3117241379310345,55,125,87,0.5548072316740557,0.9187680061777898,0.552638972702166,0.9118589743589743,0.4148148148148148,0.6436781609195402,0.5045045045045045,"[[1082, 79], [31, 56]]",0.5980393999489024,2496,1248,174,13.344827586206897
7,COMPLETE,0,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6952679189313924,0.9092241131802746,0.6940955008256523,0.9559294871794872,0.7105263157894737,0.6206896551724138,0.6625766871165644,"[[1139, 22], [33, 54]]",1.0386990000260994,2496,1248,174,13.344827586206897
7,COMPLETE,1,0.735632183908046,0.512,7.344551724137931,64,125,87,0.719706558339972,0.933989723484511,0.7187360067996462,0.9511217948717948,0.6710526315789473,0.5862068965517241,0.6257668711656442,"[[1136, 25], [36, 51]]",1.091204799944535,2496,1248,174,13.344827586206897
7,COMPLETE,2,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.680174755090412,0.9400536596473512,0.6788048952635182,0.9487179487179487,0.6619718309859155,0.5402298850574713,0.5949367088607594,"[[1137, 24], [40, 47]]",1.0541514001088217,2496,1248,174,13.344827586206897
8,COMPLETE,0,0.6551724137931034,0.456,6.541241379310345,57,125,87,0.6171349852775403,0.8992545071133683,0.6152182710068349,0.938301282051282,0.5520833333333334,0.6091954022988506,0.5792349726775956,"[[1118, 43], [34, 53]]",2.0550738000310957,2496,1248,174,13.344827586206897
8,COMPLETE,1,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6535233532554185,0.9338511192293604,0.6519316107035212,0.938301282051282,0.5510204081632653,0.6206896551724138,0.5837837837837838,"[[1117, 44], [33, 54]]",2.311743999947794,2496,1248,174,13.344827586206897
8,COMPLETE,2,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.5797786186117474,0.9263021374756205,0.5776366267995328,0.9302884615384616,0.5,0.5517241379310345,0.5245901639344263,"[[1113, 48], [39, 48]]",3.7872512999456376,2496,1248,174,13.344827586206897
9,COMPLETE,0,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6433328547518593,0.9024028037660755,0.6417040857028632,0.9455128205128205,0.6172839506172839,0.5747126436781609,0.5952380952380952,"[[1130, 31], [37, 50]]",4.1197746999096125,2496,1248,174,13.344827586206897
9,COMPLETE,1,0.7586206896551724,0.528,7.574068965517242,66,125,87,0.7241562016081883,0.9346530438484462,0.7230265117072295,0.9511217948717948,0.6585365853658537,0.6206896551724138,0.6390532544378699,"[[1133, 28], [33, 54]]",3.050986999995075,2496,1248,174,13.344827586206897
9,COMPLETE,2,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.6756236246228493,0.931371093092558,0.6741309498911797,0.9471153846153846,0.6265060240963856,0.5977011494252874,0.611764705882353,"[[1130, 31], [35, 52]]",3.9827437000349164,2496,1248,174,13.344827586206897
10,COMPLETE,0,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.6902397691955636,0.9176789727444632,0.6887339579608371,0.9567307692307693,0.7704918032786885,0.5402298850574713,0.6351351351351351,"[[1147, 14], [40, 47]]",9.437604899983853,2496,1248,174,13.344827586206897
10,COMPLETE,1,0.7701149425287356,0.536,7.688827586206897,67,125,87,0.7539358157617834,0.9398111022008374,0.7530344016109426,0.9583333333333334,0.7777777777777778,0.5632183908045977,0.6533333333333333,"[[1147, 14], [38, 49]]",6.554077399894595,2496,1248,174,13.344827586206897
10,COMPLETE,2,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.7203795331352146,0.9429544487015752,0.7191364022303594,0.9559294871794872,0.7352941176470589,0.5747126436781609,0.6451612903225806,"[[1143, 18], [37, 50]]",6.877785200020298,2496,1248,174,13.344827586206897
11,COMPLETE,0,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6794127153075077,0.907382656647559,0.6780558357919153,0.9471153846153846,0.6153846153846154,0.6436781609195402,0.6292134831460674,"[[1126, 35], [31, 56]]",1.1577588999643922,2496,1248,174,13.344827586206897
11,COMPLETE,1,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.7035247875557621,0.9193075727424831,0.7025761336020298,0.9423076923076923,0.5757575757575758,0.6551724137931034,0.6129032258064516,"[[1119, 42], [30, 57]]",1.3058476999867707,2496,1248,174,13.344827586206897
11,COMPLETE,2,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6873328625279952,0.9348361994713237,0.6860156349309257,0.936698717948718,0.5363636363636364,0.6781609195402298,0.5989847715736041,"[[1110, 51], [28, 59]]",1.1520069000544026,2496,1248,174,13.344827586206897
12,COMPLETE,0,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.6380748728234351,0.9063530250378687,0.6361022458781207,0.9527243589743589,0.7333333333333333,0.5057471264367817,0.5986394557823129,"[[1145, 16], [43, 44]]",2.2891697000013664,2496,1248,174,13.344827586206897
12,COMPLETE,1,0.7701149425287356,0.536,7.688827586206897,67,125,87,0.7368834689311625,0.9385240626887246,0.7359464596514365,0.9527243589743589,0.7,0.5632183908045977,0.6242038216560509,"[[1140, 21], [38, 49]]",2.2141225000377744,2496,1248,174,13.344827586206897
12,COMPLETE,2,0.6896551724137931,0.48,6.8855172413793095,60,125,87,0.6746838422262729,0.9373013751522172,0.6733697303359883,0.9495192307692307,0.7068965517241379,0.47126436781609193,0.5655172413793104,"[[1144, 17], [46, 41]]",2.7577902000630274,2496,1248,174,13.344827586206897
13,COMPLETE,0,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6724053598442975,0.9156494104369004,0.6707070657642737,0.9583333333333334,0.7966101694915254,0.5402298850574713,0.6438356164383562,"[[1149, 12], [40, 47]]",3.760845899931155,2496,1248,174,13.344827586206897
13,COMPLETE,1,0.7701149425287356,0.536,7.688827586206897,67,125,87,0.7408430752176388,0.9451671666320155,0.7399063855731604,0.9559294871794872,0.75,0.5517241379310345,0.6357615894039735,"[[1145, 16], [39, 48]]",4.713330000056885,2496,1248,174,13.344827586206897
13,COMPLETE,2,0.735632183908046,0.512,7.344551724137931,64,125,87,0.7085189742560554,0.9442513885176275,0.707206224812248,0.9543269230769231,0.7419354838709677,0.5287356321839081,0.6174496644295302,"[[1145, 16], [41, 46]]",3.5012133000418544,2496,1248,174,13.344827586206897
14,COMPLETE,0,0.6781609195402298,0.472,6.770758620689654,59,125,87,0.6520631180568356,0.9102339441820865,0.6505706181799199,0.9519230769230769,0.7076923076923077,0.5287356321839081,0.6052631578947368,"[[1142, 19], [41, 46]]",1.4730689999414608,2496,1248,174,13.344827586206897
14,COMPLETE,1,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.7195567126137736,0.9351777599572306,0.7185297247627755,0.9471153846153846,0.6363636363636364,0.5632183908045977,0.5975609756097561,"[[1133, 28], [38, 49]]",1.547126599936746,2496,1248,174,13.344827586206897
14,COMPLETE,2,0.7126436781609196,0.496,7.11503448275862,62,125,87,0.6736161592576857,0.9399645569118972,0.6721133937216687,0.9527243589743589,0.7,0.5632183908045977,0.6242038216560509,"[[1140, 21], [38, 49]]",1.5524294000351802,2496,1248,174,13.344827586206897
15,COMPLETE,0,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6559287674387129,0.9107685605948103,0.6534829461185702,0.9607371794871795,0.8166666666666667,0.5632183908045977,0.6666666666666666,"[[1150, 11], [38, 49]]",4.082136799930595,2496,1248,174,13.344827586206897
15,COMPLETE,1,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.7293262557810826,0.9460680942904948,0.728300609412278,0.9551282051282052,0.7540983606557377,0.5287356321839081,0.6216216216216216,"[[1146, 15], [41, 46]]",4.518378100008704,2496,1248,174,13.344827586206897
15,COMPLETE,2,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.6944263912913731,0.9442117873018702,0.6929347365526919,0.9519230769230769,0.7076923076923077,0.5287356321839081,0.6052631578947368,"[[1142, 19], [41, 46]]",3.966194999986328,2496,1248,174,13.344827586206897
16,COMPLETE,0,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6741058184798308,0.9083330858257349,0.6727705398844716,0.9479166666666666,0.6222222222222222,0.6436781609195402,0.632768361581921,"[[1127, 34], [31, 56]]",4.160054999985732,2496,1248,174,13.344827586206897
16,COMPLETE,1,0.7471264367816092,0.52,7.459310344827586,65,125,87,0.6898041424586551,0.9288811666518162,0.6886100414775109,0.9399038461538461,0.5612244897959183,0.632183908045977,0.5945945945945946,"[[1118, 43], [32, 55]]",4.268088799901307,2496,1248,174,13.344827586206897
16,COMPLETE,2,0.7241379310344828,0.504,7.229793103448276,63,125,87,0.671034728802624,0.9465086578157949,0.669485377443452,0.9431089743589743,0.5869565217391305,0.6206896551724138,0.6033519553072626,"[[1123, 38], [33, 54]]",4.197850500000641,2496,1248,174,13.344827586206897
17,COMPLETE,0,0.6206896551724138,0.432,6.196965517241379,54,125,87,0.5007436821748193,0.8754096250754897,0.49868991534463014,0.9030448717948718,0.3881578947368421,0.6781609195402298,0.49372384937238495,"[[1068, 93], [28, 59]]",1.0977625000523403,2496,1248,174,13.344827586206897
17,COMPLETE,1,0.6206896551724138,0.432,6.196965517241379,54,125,87,0.5492275352542293,0.8908441989169068,0.5477936506769342,0.8966346153846154,0.3764705882352941,0.735632183908046,0.4980544747081712,"[[1055, 106], [23, 64]]",3.750916999997571,2496,1248,174,13.344827586206897
17,COMPLETE,2,0.5977011494252874,0.416,5.967448275862068,52,125,87,0.4953734872290161,0.9071054481372578,0.4919650718186968,0.8942307692307693,0.36024844720496896,0.6666666666666666,0.46774193548387094,"[[1058, 103], [29, 58]]",2.22734710003715,2496,1248,174,13.344827586206897
18,COMPLETE,0,0.7011494252873564,0.488,7.000275862068965,61,125,87,0.6572373571786272,0.9089568049739127,0.6547203721283028,0.9535256410256411,0.7457627118644068,0.5057471264367817,0.6027397260273972,"[[1146, 15], [43, 44]]",19.457289800047874,2496,1248,174,13.344827586206897
